timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1662778871595,110,Crear Regla,200,OK,Thread Group 1-2,text,true,,207,100,100,110,0
1662778871678,28,Crear Regla,200,OK,Thread Group 1-6,text,true,,207,100,100,28,0
1662778871573,134,Crear Regla,200,OK,Thread Group 1-1,text,true,,207,100,100,134,0
1662778871617,91,Crear Regla,200,OK,Thread Group 1-3,text,true,,207,100,100,91,0
1662778871634,75,Crear Regla,200,OK,Thread Group 1-4,text,true,,207,100,100,75,0
1662778871658,51,Crear Regla,200,OK,Thread Group 1-5,text,true,,207,100,100,51,0
1662778871693,24,Crear Regla,200,OK,Thread Group 1-7,text,true,,207,100,100,23,0
1662778871721,5,Crear Regla,200,OK,Thread Group 1-8,text,true,,207,100,100,5,0
1662778871738,6,Crear Regla,200,OK,Thread Group 1-9,text,true,,207,100,100,6,0
1662778871756,6,Crear Regla,200,OK,Thread Group 1-10,text,true,,207,100,100,6,0
1662778871780,5,Crear Regla,200,OK,Thread Group 1-11,text,true,,207,100,100,5,0
1662778871799,5,Crear Regla,200,OK,Thread Group 1-12,text,true,,207,100,100,5,0
1662778871821,6,Crear Regla,200,OK,Thread Group 1-13,text,true,,207,100,100,5,0
1662778871838,6,Crear Regla,200,OK,Thread Group 1-14,text,true,,207,100,100,6,0
1662778871858,6,Crear Regla,200,OK,Thread Group 1-15,text,true,,207,100,100,6,0
1662778871878,6,Crear Regla,200,OK,Thread Group 1-16,text,true,,207,100,100,6,0
1662778871895,6,Crear Regla,200,OK,Thread Group 1-17,text,true,,207,100,100,6,0
1662778871921,6,Crear Regla,200,OK,Thread Group 1-18,text,true,,207,100,100,6,0
1662778871941,6,Crear Regla,200,OK,Thread Group 1-19,text,true,,207,100,100,6,0
1662778871959,6,Crear Regla,200,OK,Thread Group 1-20,text,true,,207,100,100,6,0
1662778871974,6,Crear Regla,200,OK,Thread Group 1-21,text,true,,207,100,100,6,0
1662778872000,7,Crear Regla,200,OK,Thread Group 1-22,text,true,,207,100,100,7,0
1662778872017,6,Crear Regla,200,OK,Thread Group 1-23,text,true,,207,100,100,6,0
1662778872041,6,Crear Regla,200,OK,Thread Group 1-24,text,true,,207,100,100,6,0
1662778872058,7,Crear Regla,200,OK,Thread Group 1-25,text,true,,207,100,100,7,0
1662778872081,6,Crear Regla,200,OK,Thread Group 1-26,text,true,,207,100,100,6,0
1662778872102,6,Crear Regla,200,OK,Thread Group 1-27,text,true,,207,100,100,6,0
1662778872115,6,Crear Regla,200,OK,Thread Group 1-28,text,true,,207,100,100,6,0
1662778872139,6,Crear Regla,200,OK,Thread Group 1-29,text,true,,207,100,100,6,0
1662778872162,7,Crear Regla,200,OK,Thread Group 1-30,text,true,,207,100,100,6,0
1662778872179,7,Crear Regla,200,OK,Thread Group 1-31,text,true,,207,100,100,6,0
1662778872203,6,Crear Regla,200,OK,Thread Group 1-32,text,true,,207,100,100,6,0
1662778872222,5,Crear Regla,200,OK,Thread Group 1-33,text,true,,207,100,100,5,0
1662778872239,6,Crear Regla,200,OK,Thread Group 1-34,text,true,,207,100,100,6,0
1662778872260,7,Crear Regla,200,OK,Thread Group 1-35,text,true,,207,100,100,7,0
1662778872280,6,Crear Regla,200,OK,Thread Group 1-36,text,true,,207,100,100,6,0
1662778872302,6,Crear Regla,200,OK,Thread Group 1-37,text,true,,207,100,100,6,0
1662778872321,5,Crear Regla,200,OK,Thread Group 1-38,text,true,,207,100,100,5,0
1662778872342,6,Crear Regla,200,OK,Thread Group 1-39,text,true,,207,100,100,6,0
1662778872363,6,Crear Regla,200,OK,Thread Group 1-40,text,true,,207,100,100,6,0
1662778872383,5,Crear Regla,200,OK,Thread Group 1-41,text,true,,207,100,100,5,0
1662778872401,7,Crear Regla,200,OK,Thread Group 1-42,text,true,,207,100,100,6,0
1662778872424,6,Crear Regla,200,OK,Thread Group 1-43,text,true,,207,100,100,6,0
1662778872444,6,Crear Regla,200,OK,Thread Group 1-44,text,true,,207,100,100,6,0
1662778872462,7,Crear Regla,200,OK,Thread Group 1-45,text,true,,207,100,100,7,0
